,country,lat,lon
0,Afghanistan,33.7680065,66.2385139
1,Albania,5.7587654,-73.9151617
2,Algeria,28.0000272,2.9999825
3,American Samoa,-14.297124,-170.7131481
4,Andorra,42.5407167,1.5732033
5,Angola,-11.8775768,17.5691241
6,Anguilla,18.1954947,-63.0750234
7,Antigua and Barbuda,17.2234721,-61.9554608
8,Argentina,-34.9964963,-64.9672817
9,Armenia,4.536307,-75.6723751
10,Aruba,12.5013629,-69.9618475
11,Australia,-24.7761086,134.755
12,Austria,47.59397,14.12456
13,Azerbaijan,40.3936294,47.7872508
14,Bahamas,24.7736546,-78.0000547
15,Bahrain,26.030093,50.553336789123236
16,Bangladesh,24.4769288,90.2934413
17,Barbados,13.1500331,-59.5250305
18,Belarus,53.4250605,27.6971358
19,Belgium,50.6402809,4.6667145
20,Belgium-Luxembourg,49.96379985,5.439803941614714
21,Belize,17.1204943,-88.6859028
22,Benin,9.5293472,2.2584408
23,Bermuda,32.3040273,-64.7563086
24,Bhutan,27.549511,90.5119273
25,Bolivia (Plurinational State of),-17.0568696,-64.9912286
26,Bosnia and Herzegovina,44.3053476,17.5961467
27,Botswana,-23.1681782,24.5928742
28,Brazil,-10.3333333,-53.2
29,British Virgin Islands,18.4024395,-64.5661642
30,Brunei Darussalam,4.4137155,114.5653908
31,Bulgaria,42.6073975,25.4856617
32,Burkina Faso,12.0753083,-1.6880314
33,Burundi,-3.426449,29.9324519
34,Cabo Verde,16.0000552,-24.0083947
35,Cambodia,12.5433216,104.8144914
36,Cameroon,4.6125522,13.1535811
37,Canada,61.0666922,-107.991707
38,Cayman Islands,19.703182249999998,-79.9174627243246
39,Central African Republic,7.0323598,19.9981227
40,Chad,15.6134137,19.0156172
41,Channel Islands,49.21230655,-2.1255999596428845
42,Chile,-31.7613365,-71.3187697
43,China,35.0000663,104.999955
44,"China, Hong Kong SAR",22.350627,114.1849161
45,"China, Macao SAR",22.1757605,113.5514142
46,"China, mainland",22.3340294,114.15186883052888
47,"China, Taiwan Province of",23.5983227,120.83537694479215
48,Colombia,4.099917,-72.9088133
49,Comoros,-12.2045176,44.2832964
50,Congo,-2.9814344,23.8222636
51,Cook Islands,-19.99697155,-157.78587140620786
52,Costa Rica,10.2735633,-84.0739102
53,Croatia,45.3658443,15.6575209
54,Cuba,23.0131338,-80.8328748
55,Cyprus,34.9174159,32.889902651331866
56,Czechia,49.7439047,15.3381061
57,Czechoslovakia,48.257918,14.5007688
58,Democratic People's Republic of Korea,40.3736611,127.0870417
59,Democratic Republic of the Congo,-2.9814344,23.8222636
60,Denmark,55.670249,10.3333283
61,Djibouti,11.8145966,42.8453061
62,Dominica,15.4113138,-61.3653618
63,Dominican Republic,19.0974031,-70.3028026
64,Ecuador,-1.3397668,-79.3666965
65,Egypt,26.2540493,29.2675469
66,El Salvador,13.8000382,-88.9140683
67,Equatorial Guinea,1.613172,10.5170357
68,Eritrea,15.9500319,37.9999668
69,Estonia,58.7523778,25.3319078
70,Eswatini,-26.5624806,31.3991317
71,Ethiopia,10.2116702,38.6521203
72,Ethiopia PDR,10.2116702,38.6521203
73,Falkland Islands (Malvinas),-51.9492937,-59.5383657
74,Faroe Islands,62.0282362,-6.8819254
75,Fiji,-18.1239696,179.0122737
76,Finland,63.2467777,25.9209164
77,France,46.603354,1.8883335
78,French Polynesia,-17.0243749,-144.6434898
79,Gabon,-0.8999695,11.6899699
80,Gambia,13.470062,-15.4900464
81,Georgia,32.3293809,-83.1137366
82,Germany,51.1638175,10.4478313
83,Ghana,8.0300284,-1.0800271
84,Gibraltar,36.1285933,-5.3474761
85,Greece,38.9953683,21.9877132
86,Greenland,43.0361995,-70.8328322
87,Grenada,12.1360374,-61.6904045
88,Guadeloupe,16.2528827,-61.5686855
89,Guam,13.4499943,144.7651677
90,Guatemala,15.5855545,-90.345759
91,Guinea,10.7226226,-10.7083587
92,Guinea-Bissau,11.815215,-15.2351044
93,Guyana,4.8417097,-58.6416891
94,Haiti,19.1399952,-72.3570972
95,Holy See,30.034098800664776,-95.81166865095464
96,Honduras,15.2572432,-86.0755145
97,Hungary,47.1817585,19.5060937
98,Iceland,64.9841821,-18.1059013
99,India,22.3511148,78.6677428
100,Indonesia,-2.4833826,117.8902853
101,Iran (Islamic Republic of),32.6475314,54.5643516
102,Iraq,33.0955793,44.1749775
103,Ireland,52.865196,-7.9794599
104,Isle of Man,54.1936805,-4.5591148
105,Israel,31.39480005,34.63358319049945
106,Italy,42.6384261,12.674297
107,Jamaica,18.1850507,-77.3947693
108,Japan,36.5748441,139.2394179
109,Jordan,44.6663146,-93.6261918
110,Kazakhstan,48.1012954,66.7780818
111,Kenya,1.4419683,38.4313975
112,Kiribati,0.3448612,173.6641773
113,Kuwait,29.3796532,47.9734174
114,Kyrgyzstan,41.5089324,74.724091
115,Lao People's Democratic Republic,20.0171109,103.378253
116,Latvia,56.8406494,24.7537645
117,Lebanon,40.375713,-76.4626118
118,Lesotho,-29.6039267,28.3350193
119,Liberia,5.7499721,-9.3658524
120,Libya,26.8234472,18.1236723
121,Liechtenstein,47.1416307,9.5531527
122,Lithuania,55.3500003,23.7499997
123,Luxembourg,49.6112768,6.129799
124,Madagascar,-18.9249604,46.4416422
125,Malawi,-13.2687204,33.9301963
126,Malaysia,4.5693754,102.2656823
127,Maldives,3.7203503,73.2244152
128,Mali,16.3700359,-2.2900239
129,Malta,35.8885993,14.4476911
130,Marshall Islands,8.230816999999998,167.7953223704529
131,Martinique,14.6113732,-60.9620777
132,Mauritania,20.2540382,-9.2399263
133,Mauritius,-20.2759451,57.5703566
134,Mayotte,-12.823048,45.1520755
135,Mexico,19.4326296,-99.1331785
136,Micronesia (Federated States of),8.6062347,151.832744331612
137,Monaco,43.7323492,7.4276832
138,Mongolia,46.8250388,103.8499736
139,Montenegro,-29.6826112,-51.4687455
140,Montserrat,16.7417041,-62.1916844
141,Morocco,28.3347722,-10.371337908392647
142,Mozambique,-19.302233,34.9144977
143,Myanmar,17.1750495,95.9999652
144,Namibia,-23.2335499,17.3231107
145,Nauru,-0.5252306,166.9324426
146,Nepal,28.3780464,83.9999901
147,Netherlands (Kingdom of the),52.24764975,5.541246849406163
148,Netherlands Antilles (former),12.1845,-68.6607922625
149,New Caledonia,-20.63784275,161.21176261225781
150,New Zealand,-41.5000831,172.8344077
151,Nicaragua,12.6090157,-85.2936911
152,Niger,17.7356214,9.3238432
153,Nigeria,9.6000359,7.9999721
154,Niue,-19.0536414,-169.861341
155,North Macedonia,41.6171214,21.7168387
156,Northern Mariana Islands,15.1753648,145.7379338
157,Norway,64.5731537,11.52803643954819
158,Oman,21.0000287,57.0036901
159,Pacific Islands Trust Territory,45.0015763,-1.1998453
160,Pakistan,30.3308401,71.247499
161,Palau,42.5717989,2.9600905
162,Palestine,31.7621153,-95.6307891
163,Panama,8.559559,-81.1308434
164,Papua New Guinea,-5.6816069,144.2489081
165,Paraguay,-23.3165935,-58.1693445
166,Peru,-6.8699697,-75.0458515
167,Philippines,12.7503486,122.7312101
168,Poland,52.215933,19.134422
169,Portugal,39.6621648,-8.1353519
170,Puerto Rico,18.2247706,-66.4858295
171,Qatar,25.3336984,51.2295295
172,Republic of Korea,36.638392,127.6961188
173,Republic of Moldova,47.2879608,28.5670941
174,Romania,45.9852129,24.6859225
175,Russian Federation,64.6863136,97.7453061
176,Rwanda,-1.9646631,30.0644358
177,"Saint Helena, Ascension and Tristan da Cunha",-15.9690718,-5.71295
