Emisi Budidaya Padi,Emisi Tanah Organik Yang Dikeringkan (Co2),Emisi Pembuatan Pestisida,Emisi Transportasi Makanan,Emisi Ritel Makanan,Emisi Penggunaan Listrik Di Pertanian,Emisi Kemasan Makanan,Emisi Sistem Agrifood Pembuangan Limbah,Emisi Pengolahan Makanan,Emisi Manufaktur Pupuk,Emisi Pupuk Kandang Di Padang Rumput,Emisi Kebakaran Di Tanah Organik,Populasi Pedesaan,Populasi Perkotaan,Total Populasi - Pria,Total Populasi - Wanita,Emisi Total,Peningkatan Suhu Rata - Rata ° C,Tahun,lat,lon
686.0,0.0,11.807482956246297,63.1152,109.6446,14.2666,67.63136607385836,691.7888,252.2141899664796,11.997,1590.5319,0.0,9655167.0,2593947.0,5348387.0,5346409.0,2198.963538996584,0.5361666666666667,1990,33.7680065,66.2385139
678.16,0.0,11.712073091310696,61.2125,116.6789,11.4182,67.63136607385836,710.8212,252.2141899664796,12.8539,1657.2364,0.0,10230490.0,2763167.0,5372959.0,5372208.0,2323.8766291316488,0.0206666666666666,1991,33.7680065,66.2385139
686.0,0.0,11.712073091310696,53.317,126.1721,9.2752,67.63136607385836,743.6751,252.2141899664796,13.4929,1653.5068,0.0,10995568.0,2985663.0,6028494.0,6028939.0,2356.3042291316488,-0.2595833333333333,1992,33.7680065,66.2385139
686.0,0.0,11.712073091310696,54.3617,81.4607,9.0635,67.63136607385836,791.9246,252.2141899664796,14.0559,1642.9623,0.0,11858090.0,3237009.0,7003641.0,7000119.0,2368.470529131649,0.1019166666666666,1993,33.7680065,66.2385139
705.6,0.0,11.712073091310696,53.9874,90.4008,8.3962,67.63136607385836,831.9181,252.2141899664796,15.1269,1689.3593,0.0,12690115.0,3482604.0,7733458.0,7722096.0,2500.768729131649,0.3722499999999999,1994,33.7680065,66.2385139
666.4,0.0,11.712073091310696,54.6445,98.868,7.7721,67.63136607385836,863.04,252.2141899664796,15.9118,1779.3139,0.0,13401971.0,3697570.0,8219467.000000001,8199445.0,2624.6125291316484,0.2855833333333333,1995,33.7680065,66.2385139
686.0,0.0,11.712073091310696,53.1637,21.6458,7.2221,67.63136607385836,887.8772,252.2141899664796,16.9535,1900.5873,0.0,13952791.0,3870093.0,8569175.0,8537421.0,2838.9213291316487,0.0365833333333333,1996,33.7680065,66.2385139
705.6,0.0,11.712073091310696,52.039,28.2132,7.4401,67.63136607385836,905.8111,269.47647566458164,18.1079,2110.6375,0.0,14373573.0,4008032.0,8916862.0,8871958.0,3204.1801148297504,0.4151666666666667,1997,33.7680065,66.2385139
705.6,0.0,11.712073091310696,52.705,30.887,6.5105,67.63136607385836,916.4552,318.5484220373959,19.1808,2305.3943,0.0,14733655.0,4130344.0,9275541.0,9217591.0,3560.7166612025644,0.8908333333333335,1998,33.7680065,66.2385139
548.8,0.0,11.712073091310696,35.763,39.4317,5.5415,67.63136607385836,924.9281,306.7799938315769,20.4208,2554.6904,0.0,15137497.0,4266179.0,9667811.0,9595036.0,3694.806532996746,1.0585,1999,33.7680065,66.2385139
509.6,0.0,11.712073091310696,38.556,73.7401,4.8508,67.63136607385836,937.2475,269.47647566458164,21.2784,2247.0318,0.0,15657474.0,4436282.0,9815442.0,9727541.0,3113.528414829751,0.9756666666666668,2000,33.7680065,66.2385139
474.32,0.0,11.712073091310696,39.1935,102.0122,4.8096,67.63136607385836,959.549,209.58772835754152,22.3096,1873.8501,0.0,16318324.0,4648139.0,9895467.0,9793166.0,5038.53396752271,1.4089166666666666,2001,33.7680065,66.2385139
529.2,0.0,11.712073091310696,37.5246,128.807,7.0778,67.63136607385836,1278.2102,209.58772835754152,44.5876,2151.399,0.0,17086910.0,4893013.0,10562202.0,10438055.0,6035.81646752271,1.0841666666666667,2002,33.7680065,66.2385139
568.4,0.0,11.712073091310696,60.7014,157.5576,6.4871,67.63136607385836,1443.1693,213.90379172907572,31.3226,2192.6235,0.0,17909063.0,5155788.0,11397483.0,11247647.0,6449.089230894246,0.6793333333333332,2003,33.7680065,66.2385139
764.4,0.0,11.712073091310696,48.7587,190.2416,8.9754,67.63136607385836,1602.3745,213.90379172907572,36.4378,2222.9262,0.0,18692107.0,5426872.0,11862726.0,11690825.0,6734.998230894244,1.3988333333333334,2004,33.7680065,66.2385139
627.2,0.0,11.983047178614395,73.1813,230.9986,8.7199,67.63136607385836,1763.7812,226.8500140556436,29.1263,2229.9178,0.0,19378962.0,5691836.0,12302104.0,12109086.0,7001.297527308117,0.4573333333333333,2005,33.7680065,66.2385139
627.2,0.0,12.931389156127368,103.2846,241.914,26.162,67.63136607385836,1911.571,213.90379172907572,33.9886,2149.6659,0.0,19961972.0,5931478.0,12828447.0,12614497.0,7076.181946959061,1.4773333333333332,2006,33.7680065,66.2385139
666.4,0.0,13.429486261685543,114.7556,246.2698,45.4719,67.63136607385836,2061.5153,209.58772835754152,31.4764,2050.1299,0.0,20464923.0,6151869.0,13067961.0,12835340.0,7281.053380693084,0.7864999999999999,2007,33.7680065,66.2385139
744.8,0.0,29.91974111281136,230.5945,254.0779,46.5445,67.63136607385836,2201.5482,293.71142328950305,28.5988,2343.2058,0.0,20929119.0,6364912.0,13339006.0,13088192.0,8069.086330476174,0.8358333333333333,2008,33.7680065,66.2385139
784.0,0.0,75.01625720031335,385.5834,261.1027,47.3336,67.63136607385836,2337.2704,293.71142328950305,26.4955,2403.6078,0.0,21415593.0,6588738.0,13827977.0,13557331.0,8735.042446563675,0.8974166666666666,2009,33.7680065,66.2385139
815.36,0.0,81.61085024272248,468.253,255.1159,53.3849,124.10557448145366,2473.6065,514.1158415614423,22.3799,2737.4933,0.0,21966187.0,6836980.0,14240377.0,13949295.0,9871.638666285618,1.52925,2010,33.7680065,66.2385139
823.2,0.0,81.61085024272248,478.8137,270.6066,50.4527,339.8336701255748,2610.1325,1299.8240954184548,32.4927,2840.266,0.0,22594126.0,7114473.0,14780282.0,14468875.0,10925.534315786752,1.2545833333333334,2011,33.7680065,66.2385139
803.6,0.0,107.38644368886752,530.8213,271.2397,47.1675,339.8336701255748,2743.2372,1326.9175971211996,29.4433,2798.7363,0.0,23280663.0,7416295.0,15399105.0,15067373.0,11280.276510935642,0.3441666666666667,2012,33.7680065,66.2385139
803.6,0.0,76.06187429144417,391.0777,276.2396,66.6996,353.9306403448856,2870.4764,1441.160480517123,29.9814,2741.0994,0.0,23997856.0,7733832.0,15946572.0,15594637.0,11694.004195153451,1.2909166666666667,2013,33.7680065,66.2385139
862.4,0.0,49.782873216883466,304.1804,333.4255,78.6716,353.9306403448856,2976.2524,1484.1970704426503,28.6394,2770.4672,0.0,24703798.0,8054222.0,16543889.0,16172321.0,12128.69828400442,0.4686666666666666,2014,33.7680065,66.2385139
23.52,110.5705,2.0,46.9645,8.3013,45.2103,2.85,444.4512,131.56912352369383,356.4910168671663,383.3071,0.0,2086075.0,1195379.0,1676902.0,1618163.0,3475.2912403908595,0.7357499999999999,1990,5.7587654,-73.9151617
6.272,110.5705,2.0,47.9519,2.7448,18.4951,3.2048,443.8552,131.56912352369383,2903.861148947865,394.0694,0.0,2073348.0,1202083.0,1675168.0,1626914.0,5680.135772471558,-0.4615,1991,5.7587654,-73.9151617
1.8816,110.5705,2.0,40.5272,3.4281,4.2558,3.67,445.0997,131.56912352369383,2903.861148947865,400.0541,0.0,2033508.0,1207079.0,1670550.0,1633189.0,5221.131572471559,0.31825,1992,5.7587654,-73.9151617
1.0976,110.5705,2.0,57.6592,7.0102,8.6999,4.4197,446.7996,131.56912352369383,2903.861148947865,426.4171,0.0,1983942.0,1205641.0,1663515.0,1637195.0,5316.973272471559,0.2705,1993,5.7587654,-73.9151617
0.0,110.5705,3.0,72.4242,5.7802,3.0976,5.1834,449.4347,131.56912352369383,2903.861148947865,546.0098,0.0,1936056.0,1204539.0,1654796.0,1639203.0,5564.287672471559,1.2026666666666668,1994,5.7587654,-73.9151617
0.0,110.5705,3.0,72.6921,4.2759,2.1529,7.335,447.8827,0.6125,2903.861148947865,546.7428,0.0,1897862.0,1208874.0,1644902.0,1639462.0,5582.371348947865,-0.0388333333333333,1995,5.7587654,-73.9151617
283.1808479179501,110.5705,1.0,71.2259,4.6712,1.7525,7.9181,465.3796,3.2397,377.4078995531106,463.034,0.0,1871645.0,1220583.0,1633759.0,1637572.0,3231.9567474710607,-0.1459166666666666,1996,5.7587654,-73.9151617
265.0979164345904,110.5705,3.0,56.8044,4.587,0.9439,8.9597,470.1376,3.0681,377.4078995531106,433.5541,0.0,1854740.0,1238301.0,1620795.0,1632924.0,3035.1640159877006,0.0874166666666667,1997,5.7587654,-73.9151617
265.0979164345904,110.5705,3.0,85.6565,6.3115,1.1513,10.6203,480.3688,11.2535,377.4078995531106,411.2509,0.0,1843604.0,1260155.0,1606618.0,1625558.0,3033.238615987701,0.5823333333333334,1998,5.7587654,-73.9151617
